"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"refseq"
"ENSG00000007516"	81.073314294745	-2.41322020851386	1.09802246044316	-2.19778765503566	0.0279642415772043	0.46421531647468	"BAIAP3"	"NM_001199096"
"ENSG00000030582"	494.905818523965	-1.46752442279306	0.663801724429314	-2.21078730106452	0.027050569633747	0.46421531647468	"GRN"	"NM_001012479"
"ENSG00000047617"	13.3047771820917	4.90971379170828	2.2424831881942	2.18940940897841	0.0285670963984419	0.46421531647468	"ANO2"	"NM_001278596"
"ENSG00000065534"	809.818456271328	1.86647447637629	0.840342505954988	2.22108778640821	0.0263450161138859	0.46421531647468	"MYLK"	"NM_001321309"
"ENSG00000044459"	140.66579086175	2.39065971002696	1.09766375216778	2.17795267932064	0.0294095599381847	0.468152178607838	"CNTLN"	"NM_001114395"
"ENSG00000050438"	23.9341665002857	-3.15334391801548	1.45703545270262	-2.16421907385056	0.0304475401004381	0.474981625566834	"SLC4A8"	"NM_001039960"
"ENSG00000005812"	804.455558769821	1.80201785753345	0.842622614772064	2.1385823569676	0.0324695076404215	0.477853131311864	"FBXL3"	"NM_012158"
"ENSG00000005884"	10.9400973785056	-4.33632106550631	2.01992529425943	-2.14677299097645	0.0318113585647466	0.477853131311864	"ITGA3"	"NM_002204"
"ENSG00000007402"	63.4958759792741	-2.29557913254325	1.07278807995148	-2.13982535362164	0.0323688834480091	0.477853131311864	"CACNA2D2"	"NM_001005505"
"ENSG00000023287"	1053.22383583291	1.68185158639578	0.798054636759921	2.10743915131432	0.0350795309243679	0.506704335574203	"RB1CC1"	"NM_001083617"
"ENSG00000008405"	467.679597836149	1.78464784117637	0.874947147602778	2.03972073749373	0.0413781482508353	0.533972063379941	"CRY1"	"NM_004075"
"ENSG00000010072"	154.233157949724	1.87713210629428	0.921312470236062	2.03745435662378	0.0416045314731081	0.533972063379941	"SPRTN"	"NM_001010984"
"ENSG00000011590"	24.8173998116173	-2.96011855552031	1.44162481307289	-2.05332103656754	0.0400414519380967	0.533972063379941	"ZBTB32"	"NM_001316902"
"ENSG00000025708"	58.7422044033041	-2.56887944339113	1.26178413741696	-2.03591039640899	0.0417593536745851	0.533972063379941	"TYMP"	"NM_001113755"
"ENSG00000042832"	13.6567796033375	-3.73461310977087	1.82664948082477	-2.04451546340714	0.0409026513611693	0.533972063379941	"TG"	"NM_003235"
"ENSG00000061656"	24.318314311209	-2.98069734484621	1.45785718886079	-2.04457430235359	0.0408968451354086	0.533972063379941	"SPAG4"	"NM_001317931"
"ENSG00000065057"	61.3005124361129	-2.07001746753145	1.00272337570254	-2.06439534341277	0.0389802476316409	0.533972063379941	"NTHL1"	"NM_001318193"
"ENSG00000010310"	13.0562200393576	-4.05966805976846	2.00507882013728	-2.02469250535025	0.0428989486866169	0.539696451218728	"GIPR"	"NM_000164"
"ENSG00000005022"	1336.55672307463	1.29735029639169	0.651993818525446	1.98981993314873	0.0466107748236895	0.567636708769669	"SLC25A5"	"NM_001152"
